timestamp,nav
2025-10-24 10:40:00+00:00,100000.0
2025-10-24 10:40:00+00:00,99869.98255287879
2025-10-24 10:41:00+00:00,100645.51544711692
2025-10-24 10:42:00+00:00,101377.54983613687
2025-10-24 10:43:00+00:00,101131.58419040614
2025-10-24 10:44:00+00:00,101096.80593851791
2025-10-24 10:45:00+00:00,101681.18640028627
2025-10-24 10:46:00+00:00,101785.12892696675
2025-10-24 10:47:00+00:00,100827.27221011644
2025-10-24 10:48:00+00:00,101070.39974817232
2025-10-24 10:49:00+00:00,101251.51720421127
2025-10-24 10:50:00+00:00,101331.80762339284
2025-10-24 10:51:00+00:00,101060.38263282384
2025-10-24 10:52:00+00:00,101152.64380726585
2025-10-24 10:53:00+00:00,101191.47773061268
2025-10-24 10:54:00+00:00,100822.45807660226
2025-10-24 10:55:00+00:00,100759.38270819088
2025-10-24 10:56:00+00:00,100578.49924561993
2025-10-24 10:57:00+00:00,100034.53166762175
2025-10-24 10:58:00+00:00,99581.82735481457
2025-10-24 10:59:00+00:00,99637.73227723542
2025-10-24 11:00:00+00:00,99588.95035603218
2025-10-24 11:01:00+00:00,99885.32239557378
2025-10-24 11:02:00+00:00,100100.59627414175
2025-10-24 11:03:00+00:00,100469.57103863783
2025-10-24 11:04:00+00:00,100696.41367375903
2025-10-24 11:05:00+00:00,100382.17199553765
2025-10-24 11:06:00+00:00,100220.64231189928
2025-10-24 11:07:00+00:00,100101.55905694183
2025-10-24 11:08:00+00:00,100256.573252503
2025-10-24 11:09:00+00:00,99925.80321756419
2025-10-24 11:10:00+00:00,100114.88170607801
2025-10-24 11:11:00+00:00,100076.85901647192
2025-10-24 11:12:00+00:00,100532.77506082147
2025-10-24 11:13:00+00:00,100217.29304328802
2025-10-24 11:14:00+00:00,100438.42279309509
2025-10-24 11:15:00+00:00,100474.25597509541
2025-10-24 11:16:00+00:00,99947.31579378559
2025-10-24 11:17:00+00:00,99070.90797855306
2025-10-24 11:18:00+00:00,98405.23392159687
2025-10-24 11:19:00+00:00,97911.28928115006
2025-10-24 11:20:00+00:00,98840.73352745196
2025-10-24 11:21:00+00:00,99026.81953812184
2025-10-24 11:22:00+00:00,99649.96593279115
2025-10-24 11:23:00+00:00,99643.7291032548
2025-10-24 11:24:00+00:00,98970.74142270011
2025-10-24 11:25:00+00:00,99643.97918838332
2025-10-24 11:26:00+00:00,99513.55696005723
2025-10-24 11:27:00+00:00,99677.0248090424
2025-10-24 11:28:00+00:00,99657.0029884421
2025-10-24 11:29:00+00:00,99578.22891815247
2025-10-24 11:30:00+00:00,99159.33040156304
2025-10-24 11:31:00+00:00,98600.5687687772
2025-10-24 11:32:00+00:00,97820.75394948643
2025-10-24 11:33:00+00:00,97825.43773287571
2025-10-24 11:34:00+00:00,97962.62048930548
2025-10-24 11:35:00+00:00,97772.18521406963
2025-10-24 11:36:00+00:00,98120.58954543657
2025-10-24 11:37:00+00:00,97785.99025714253
2025-10-24 11:38:00+00:00,98036.17073892495
2025-10-24 11:39:00+00:00,97787.94820802358
2025-10-24 11:40:00+00:00,97823.29767368613
2025-10-24 11:41:00+00:00,98528.02560809274
2025-10-24 11:42:00+00:00,98581.01026214442
2025-10-24 11:43:00+00:00,98562.94836007628
2025-10-24 11:44:00+00:00,98852.153295879
2025-10-24 11:45:00+00:00,98723.31037647561
2025-10-24 11:46:00+00:00,98444.8294934788
2025-10-24 11:47:00+00:00,98461.33028349162
2025-10-24 11:48:00+00:00,98494.35036879718
2025-10-24 11:49:00+00:00,98563.65165446103
2025-10-24 11:50:00+00:00,98931.92183209605
2025-10-24 11:51:00+00:00,100253.9412681934
2025-10-24 11:52:00+00:00,100112.76163109897
2025-10-24 11:53:00+00:00,99757.43163326934
