timestamp,open,high,low,close,volume,count
2025-12-02 07:22:00+00:00,2807.63,2807.63,2806.36,2806.36,7.30885058,20
2025-12-02 07:23:00+00:00,2806.79,2806.79,2806.79,2806.79,2.43717656,4
2025-12-02 07:24:00+00:00,2806.0,2806.0,2806.0,2806.0,0.01021761,1
2025-12-02 07:25:00+00:00,2805.99,2806.0,2805.99,2806.0,2.29469389,5
2025-12-02 07:26:00+00:00,2805.99,2806.0,2805.99,2806.0,2.3028484,4
2025-12-02 07:27:00+00:00,2806.0,2806.0,2806.0,2806.0,0.17610645,3
2025-12-02 07:28:00+00:00,2806.0,2806.0,2806.0,2806.0,0.03845017,2
2025-12-02 07:29:00+00:00,2806.0,2806.0,2805.99,2806.0,4.80765354,13
2025-12-02 07:30:00+00:00,2806.0,2806.0,2806.0,2806.0,2.45509324,7
2025-12-02 07:31:00+00:00,2805.99,2805.99,2804.54,2804.67,5.70024884,16
2025-12-02 07:32:00+00:00,2804.68,2804.68,2804.55,2804.55,0.11484401,3
2025-12-02 07:33:00+00:00,2804.55,2805.16,2804.55,2805.16,2.3773389,5
2025-12-02 07:34:00+00:00,2805.21,2805.21,2805.21,2805.21,0.05918392,2
2025-12-02 07:35:00+00:00,2805.2,2805.21,2805.2,2805.21,6.19290414,7
2025-12-02 07:36:00+00:00,2805.21,2805.21,2805.21,2805.21,0.0035648,1
2025-12-02 07:37:00+00:00,2805.98,2805.99,2805.98,2805.98,0.00941507,4
2025-12-02 07:38:00+00:00,2805.98,2805.98,2805.98,2805.98,0.0,0
2025-12-02 07:39:00+00:00,2805.98,2805.98,2805.98,2805.98,3.00154257,3
2025-12-02 07:40:00+00:00,2805.98,2805.98,2805.98,2805.98,7.18,4
2025-12-02 07:41:00+00:00,2805.98,2805.99,2805.98,2805.99,23.53441605,24
2025-12-02 07:42:00+00:00,2805.99,2805.99,2805.99,2805.99,0.00354607,1
2025-12-02 07:43:00+00:00,2805.98,2805.98,2805.98,2805.98,0.4037805,4
2025-12-02 07:44:00+00:00,2805.99,2805.99,2805.99,2805.99,0.0113789,4
2025-12-02 07:45:00+00:00,2805.98,2805.99,2805.98,2805.98,0.03953566,3
2025-12-02 07:46:00+00:00,2805.99,2805.99,2805.99,2805.99,0.04772673,5
2025-12-02 07:47:00+00:00,2805.99,2805.99,2805.98,2805.98,0.01030196,2
2025-12-02 07:48:00+00:00,2805.99,2805.99,2805.98,2805.98,5.2494748,8
2025-12-02 07:49:00+00:00,2805.99,2806.06,2805.98,2805.99,30.0302893,16
2025-12-02 07:50:00+00:00,2805.99,2806.06,2805.98,2806.06,2.97805734,8
2025-12-02 07:51:00+00:00,2806.75,2806.75,2806.07,2806.07,0.5095527,3
2025-12-02 07:52:00+00:00,2806.06,2806.06,2806.06,2806.06,0.0166709,3
2025-12-02 07:53:00+00:00,2806.06,2806.06,2806.06,2806.06,0.0,0
2025-12-02 07:54:00+00:00,2806.05,2806.06,2806.05,2806.06,0.04272438,2
2025-12-02 07:55:00+00:00,2806.83,2806.83,2806.82,2806.83,0.7594003,5
2025-12-02 07:56:00+00:00,2806.83,2806.83,2806.83,2806.83,1.04116173,4
2025-12-02 07:57:00+00:00,2806.83,2806.83,2806.83,2806.83,0.00691794,1
2025-12-02 07:58:00+00:00,2806.83,2807.22,2806.82,2806.82,2.62988998,6
2025-12-02 07:59:00+00:00,2806.83,2806.83,2806.82,2806.83,0.11727113,3
2025-12-02 08:00:00+00:00,2805.99,2805.99,2805.99,2805.99,0.07810541,8
2025-12-02 08:01:00+00:00,2805.98,2805.99,2805.98,2805.99,1.17876852,3
2025-12-02 08:02:00+00:00,2806.44,2806.59,2805.98,2806.03,1.26632756,9
2025-12-02 08:03:00+00:00,2806.24,2806.24,2803.42,2803.42,30.85023411,31
2025-12-02 08:04:00+00:00,2804.07,2804.08,2804.07,2804.08,0.00474472,2
2025-12-02 08:05:00+00:00,2805.13,2805.14,2805.12,2805.12,1.42687022,7
2025-12-02 08:06:00+00:00,2805.11,2805.11,2802.28,2802.28,5.47061483,9
2025-12-02 08:07:00+00:00,2801.35,2801.8,2801.0,2801.0,0.55513142,8
2025-12-02 08:08:00+00:00,2801.0,2801.0,2800.01,2800.21,150.03993251,21
2025-12-02 08:09:00+00:00,2800.21,2800.21,2798.9,2798.92,0.60701413,10
2025-12-02 08:10:00+00:00,2798.91,2799.5,2798.91,2799.5,0.0075975,3
2025-12-02 08:11:00+00:00,2799.4,2800.0,2799.4,2800.0,0.25175932,2
2025-12-02 08:12:00+00:00,2799.99,2799.99,2794.65,2794.94,2.23208791,15
2025-12-02 08:13:00+00:00,2795.01,2795.01,2795.01,2795.01,0.00139949,1
2025-12-02 08:14:00+00:00,2796.01,2796.01,2796.01,2796.01,0.95583184,1
2025-12-02 08:15:00+00:00,2795.54,2795.54,2795.53,2795.53,0.03470391,2
2025-12-02 08:16:00+00:00,2795.54,2795.54,2794.44,2794.44,3.60878715,7
2025-12-02 08:17:00+00:00,2794.0,2794.0,2789.32,2792.57,1.82371876,32
2025-12-02 08:18:00+00:00,2792.57,2792.57,2792.57,2792.57,0.0,0
2025-12-02 08:19:00+00:00,2790.55,2790.55,2790.4,2790.4,0.00237739,2
2025-12-02 08:20:00+00:00,2790.4,2790.41,2790.4,2790.41,0.10669633,8
2025-12-02 08:21:00+00:00,2790.4,2791.11,2789.88,2790.72,6.34882153,12
2025-12-02 08:22:00+00:00,2790.54,2790.88,2790.28,2790.88,20.35068354,11
2025-12-02 08:23:00+00:00,2791.02,2791.43,2790.01,2791.43,0.48962685,8
2025-12-02 08:24:00+00:00,2791.34,2791.34,2791.33,2791.34,0.60154067,4
2025-12-02 08:25:00+00:00,2790.99,2790.99,2790.71,2790.71,3.01301256,4
2025-12-02 08:26:00+00:00,2790.71,2790.71,2788.68,2788.68,0.14213483,8
2025-12-02 08:27:00+00:00,2789.8,2789.8,2788.69,2788.74,3.59091006,11
2025-12-02 08:28:00+00:00,2788.68,2788.69,2788.52,2788.69,15.00034815,6
2025-12-02 08:29:00+00:00,2788.33,2788.52,2788.23,2788.52,3.45309601,7
2025-12-02 08:30:00+00:00,2788.51,2788.51,2785.0,2785.01,37.66868785,24
2025-12-02 08:31:00+00:00,2785.01,2785.01,2784.43,2784.95,0.06515593,8
2025-12-02 08:32:00+00:00,2784.94,2787.98,2784.94,2787.98,0.32089701,14
2025-12-02 08:33:00+00:00,2788.04,2788.53,2788.03,2788.53,1.03576122,6
2025-12-02 08:34:00+00:00,2788.88,2789.41,2788.88,2789.41,2.48862656,8
2025-12-02 08:35:00+00:00,2789.41,2790.9,2789.4,2790.9,0.90162573,21
